"path","freq"
"donepezil-End",2144
"memantine-End",791
"rivastigmine-End",377
"donepezil-donepezil+memantine-End",307
"galantamine-End",270
"donepezil-donepezil+rivastigmine-End",53
"rivastigmine-memantine+rivastigmine-End",49
"donepezil-donepezil+galantamine-End",35
"galantamine-galantamine+memantine-End",33
"donepezil+memantine-End",24
"rivastigmine-donepezil+rivastigmine-End",22
"donepezil-donepezil+rivastigmine-donepezil+memantine+rivastigmine-End",12
"galantamine-donepezil+galantamine-End",10
"memantine-donepezil+memantine-End",9
"donepezil-donepezil+galantamine-donepezil+galantamine+memantine-End",8
"galantamine-galantamine+rivastigmine-End",8
"memantine-memantine+rivastigmine-End",7
"donepezil-donepezil+galantamine-donepezil+galantamine+rivastigmine-End",6
"donepezil+rivastigmine-End",6
"memantine+rivastigmine-End",6
"galantamine+memantine-End",5
