"path","freq"
"donepezil-End",2211
"memantine-End",888
"donepezil-donepezil+memantine-End",352
"rivastigmine-End",351
"galantamine-End",228
"donepezil-donepezil+rivastigmine-End",69
"donepezil-donepezil+galantamine-End",48
"rivastigmine-memantine+rivastigmine-End",43
"galantamine-galantamine+memantine-End",38
"donepezil-donepezil+rivastigmine-donepezil+memantine+rivastigmine-End",18
"donepezil+memantine-End",18
"rivastigmine-donepezil+rivastigmine-End",12
"memantine-donepezil+memantine-End",11
"galantamine-galantamine+rivastigmine-End",10
"memantine-memantine+rivastigmine-End",10
"donepezil+galantamine-End",9
"donepezil+rivastigmine-End",9
"donepezil-donepezil+galantamine-donepezil+galantamine+memantine-End",8
"galantamine-donepezil+galantamine-End",8
"memantine+rivastigmine-End",7
"donepezil-donepezil+galantamine-donepezil+galantamine+rivastigmine-End",5
