"path","freq"
"donepezil-End",1121
"galantamine-End",450
"memantine-End",200
"rivastigmine-End",195
"donepezil-donepezil+memantine-End",95
"galantamine-galantamine+memantine-End",39
"donepezil-donepezil+galantamine-End",37
"galantamine-donepezil+galantamine-End",27
"rivastigmine-memantine+rivastigmine-End",21
"donepezil-donepezil+rivastigmine-End",20
"galantamine-galantamine+rivastigmine-End",14
"galantamine+memantine-End",8
"memantine-memantine+rivastigmine-End",8
"rivastigmine-donepezil+rivastigmine-End",8
"donepezil+memantine-End",7
"donepezil-donepezil+rivastigmine-donepezil+memantine+rivastigmine-End",6
"galantamine-galantamine+rivastigmine-galantamine+memantine+rivastigmine-End",6
"donepezil+galantamine-End",5
"memantine-donepezil+memantine-End",5
