"path","freq"
"donepezil-End",2001
"memantine-End",970
"donepezil-donepezil+memantine-End",328
"rivastigmine-End",302
"galantamine-End",194
"donepezil-donepezil+rivastigmine-End",59
"rivastigmine-memantine+rivastigmine-End",37
"donepezil-donepezil+galantamine-End",36
"donepezil+memantine-End",28
"galantamine-galantamine+memantine-End",23
"donepezil-donepezil+rivastigmine-donepezil+memantine+rivastigmine-End",18
"memantine-donepezil+memantine-End",16
"memantine-memantine+rivastigmine-End",13
"rivastigmine-donepezil+rivastigmine-End",13
"donepezil-donepezil+galantamine-donepezil+galantamine+memantine-End",9
"donepezil+rivastigmine-End",9
"galantamine-galantamine+rivastigmine-End",9
"donepezil-donepezil+memantine-donepezil+memantine+rivastigmine-End",8
"donepezil+galantamine-End",8
"galantamine-donepezil+galantamine-End",7
"memantine+rivastigmine-End",7
