"path","freq"
"donepezil-End",1481
"memantine-End",811
"donepezil-donepezil+memantine-End",238
"rivastigmine-End",238
"galantamine-End",116
"donepezil-donepezil+rivastigmine-End",41
"donepezil-donepezil+galantamine-End",30
"rivastigmine-memantine+rivastigmine-End",24
"donepezil-donepezil+rivastigmine-donepezil+memantine+rivastigmine-End",12
"donepezil+memantine-End",12
"galantamine-galantamine+memantine-End",10
"donepezil+rivastigmine-End",8
"memantine-donepezil+memantine-End",8
"rivastigmine-donepezil+rivastigmine-End",7
"donepezil-donepezil+galantamine-donepezil+galantamine+memantine-End",6
"donepezil+galantamine-End",6
"donepezil-donepezil+memantine-donepezil+memantine+rivastigmine-End",5
"galantamine-donepezil+galantamine-End",5
"memantine-memantine+rivastigmine-End",5
