"path","freq"
"donepezil-End",1245
"galantamine-End",389
"memantine-End",324
"rivastigmine-End",299
"donepezil-donepezil+memantine-End",147
"donepezil-donepezil+rivastigmine-End",42
"galantamine-galantamine+memantine-End",39
"rivastigmine-memantine+rivastigmine-End",27
"galantamine-donepezil+galantamine-End",24
"donepezil-donepezil+galantamine-End",23
"galantamine-galantamine+rivastigmine-End",18
"rivastigmine-donepezil+rivastigmine-End",18
"donepezil-donepezil+galantamine-donepezil+galantamine+memantine-End",10
"galantamine-galantamine+rivastigmine-galantamine+memantine+rivastigmine-End",9
"donepezil-donepezil+rivastigmine-donepezil+memantine+rivastigmine-End",8
"donepezil+memantine-End",8
"donepezil+galantamine-End",7
