"path","freq"
"donepezil-End",1851
"memantine-End",566
"rivastigmine-End",362
"galantamine-End",331
"donepezil-donepezil+memantine-End",278
"donepezil-donepezil+rivastigmine-End",46
"rivastigmine-memantine+rivastigmine-End",44
"donepezil-donepezil+galantamine-End",43
"galantamine-galantamine+memantine-End",42
"donepezil+memantine-End",18
"donepezil-donepezil+galantamine-donepezil+galantamine+memantine-End",17
"galantamine-donepezil+galantamine-End",15
"rivastigmine-donepezil+rivastigmine-End",15
"donepezil-donepezil+rivastigmine-donepezil+memantine+rivastigmine-End",11
"memantine-donepezil+memantine-End",8
"donepezil-donepezil+rivastigmine-donepezil+galantamine+rivastigmine-End",6
"donepezil-donepezil+galantamine-donepezil+galantamine+rivastigmine-End",5
"donepezil+galantamine-End",5
"galantamine-galantamine+rivastigmine-End",5
"memantine-memantine+rivastigmine-End",5
"rivastigmine-galantamine+rivastigmine-End",5
