"path","freq"
"donepezil-End",967
"galantamine-End",390
"rivastigmine-End",160
"memantine-End",145
"donepezil-donepezil+memantine-End",75
"galantamine-galantamine+memantine-End",30
"donepezil-donepezil+galantamine-End",20
"galantamine-donepezil+galantamine-End",17
"donepezil-donepezil+rivastigmine-End",15
"rivastigmine-donepezil+rivastigmine-End",10
"rivastigmine-memantine+rivastigmine-End",10
"galantamine-galantamine+rivastigmine-End",9
"donepezil+galantamine-End",6
"donepezil-donepezil+galantamine-donepezil+galantamine+memantine-End",5
"donepezil+memantine-End",5
