"path","freq"
"donepezil-End",1821
"memantine-End",857
"donepezil-donepezil+memantine-End",292
"rivastigmine-End",237
"galantamine-End",141
"donepezil-donepezil+rivastigmine-End",52
"donepezil-donepezil+galantamine-End",36
"rivastigmine-memantine+rivastigmine-End",32
"donepezil+memantine-End",23
"galantamine-galantamine+memantine-End",14
"memantine-donepezil+memantine-End",13
"rivastigmine-donepezil+rivastigmine-End",12
"memantine-memantine+rivastigmine-End",10
"memantine+rivastigmine-End",10
"donepezil-donepezil+rivastigmine-donepezil+memantine+rivastigmine-End",8
"donepezil+rivastigmine-End",7
"donepezil-donepezil+galantamine-donepezil+galantamine+memantine-End",5
"donepezil-donepezil+memantine-donepezil+memantine+rivastigmine-End",5
"galantamine+memantine-End",5
